id,label,text
59,promo,ফুড পান্ডায় বিশেষ কম্বো অফার! পিজা + কোক মাত্র ৩৯৯ টাকা।
60,normal,"নানু, আজ আপনার কাছে বেড়াতে যাবো। কিছু লাগবে?"
61,smish,Alert: আপনার ইন্টারনেট বিল পেমেন্ট পেন্ডিং। সার্ভিস বন্ধের আগে: pay-now.tk
62,promo,এক্সক্লুসিভ অফার! আইফোনে ২০০০০ টাকা ক্যাশব্যাক। EMI তে কিনুন।
63,normal,"ভাই, তোমার গাড়ি ধার দিবে? আমার জরুরি কাজ আছে।"
64,smish,জয়! আপনি iPhone 15 Pro জিতেছেন। পেতে ক্লিক করুন: win-iphone.ml
65,promo,বিকাশ পেমেন্টে ক্যাশব্যাক! সব শপে ১০% রিওয়ার্ড পান।
66,normal,"মামা, আগামীকাল আমাদের বাসায় আসবেন? খিচুড়ি রান্না করবো।"
67,smish,জরুরি নোটিশ: আপনার পানির বিল বকেয়া। সংযোগ বিচ্ছিন্নের আগে: water-bill.ga
68,promo,অনলাইনে ওষুধ কিনুন। ঢাকায় ৩০ মিনিটে হোম ডেলিভারি। ১০% ছাড়।
69,normal,"আন্টি, আজ আপনার পরিবারের সবার খোঁজ নিলাম। সবাই ভালো তো?"
70,smish,গুরুত্বপূর্ণ: আপনার জন্মনিবন্ধন সার্টিফিকেট আপডেট। এখনই: update-birth-cert.cf
71,promo,নতুন কালেকশন এসেছে! কে ও কে সালোয়ার কামিজে ৩৫% ছাড়।
72,normal,"বন্ধু, আজ সন্ধ্যায় ক্রিকেট খেলতে মাঠে আসবে?"
73,smish,আপনার মোবাইল নম্বর লটারিতে জিতেছে! ৮ লক্ষ টাকা নিতে কল: 01999888777
74,promo,এয়ারটেলে বিশেষ প্যাকেজ! ৩০দিন আনলিমিটেড ইন্টারনেট মাত্র ৫৯৯ টাকা।
75,normal,"দিদি, তোমার পড়াশুনা কেমন চলছে? কোন সমস্যা হচ্ছে?"
76,smish,সর্তকতা! আপনার ব্যাংক একাউন্ট থেকে ২০০০০ টাকা কাটা হবে। বন্ধ করতে: block-deduction.tk
77,promo,মাসিক গ্রোসারি কিনুন। সব পণ্যে ২০% পর্যন্ত ছাড়। আজই অর্ডার।
78,normal,"চাচী, আজ বিকেলে আপনার সাথে দেখা করতে যাবো।"
79,smish,আপনার কর পরিশোধ পেন্ডিং আছে। জরিমানা এড়াতে: pay-tax-now.ml
80,promo,বসুন্ধরা সিটিতে গ্র্যান্ড সেল! সব ব্র্যান্ডে ৫০% পর্যন্ত ছাড়।
81,normal,"আব্বু, আমি ঢাকায় পৌঁছে গেছি। হোটেলে চেক ইন করলাম।"
82,smish,Emergency: আপনার পেনশন একাউন্ট বন্ধ হবে। রিনিউ: pension-renew.cf
83,promo,নতুন গ্রাহকদের জন্য বিশেষ! ইন্টারনেট কানেকশনে ৩ মাস ফ্রি।
84,normal,"মামি, আপনার রান্নার রেসিপিটা পাঠাবেন? খুব ভালো লেগেছিল।"
85,smish,সতর্ক হন! আপনার সিম কার্ড ডুপ্লিকেট হয়েছে। সুরক্ষিত করুন: secure-sim.tk
86,promo,শপে বিশেষ ছাড়! জুতা ও ব্যাগে ৪০% পর্যন্ত কমতি। সীমিত সময়।
87,normal,"আপা, রাতের খাবার কি রান্না করবেন? আমি সবজি কিনে আনি।"
88,smish,জরুরি আপডেট: আপনার PF একাউন্ট ব্লক। আনব্লক করতে OTP: 8743 দিন।
89,promo,অনলাইনে কোর্স করুন! IT স্কিল ডেভেলপমেন্টে ৬০% ছাড়। এনরোল করুন।
90,normal,"ভাইয়া, আমার ল্যাপটপ হ্যাং করছে। একটু দেখে দিবেন?"
91,smish,Lucky Draw: আপনি Suzuki গাড়ি জিতেছেন! নিবন্ধন: car-winner.ml
92,promo,গ্র্যাব বাইক রাইডে ২৫% ছাড়! সর্বোচ্চ ৭৫ টাকা পর্যন্ত সাশ্রয়।
93,normal,"দাদা, আজ আবহাওয়া খুব খারাপ। বের হওয়ার দরকার নেই।"
94,smish,সতর্কবার্তা: আপনার ইনকাম ট্যাক্স রিটার্ন পেন্ডিং। জমা দিন: file-tax.cf
95,promo,নতুন ফ্যাশন কালেকশন! শার্ট ও প্যান্টে কম্বো অফার ৪৯৯ টাকা।
96,normal,"আম্মু, আমি অফিস থেকে সবজি কিনে নিয়ে আসবো। লিস্ট পাঠান।"
97,smish,জয়ধ্বনি! আপনার নাম সরকারি লটারিতে এসেছে। ৫০ লক্ষ টাকার পুরস্কার।
98,promo,এক্সক্লুসিভ সেল! ল্যাপটপ ও কম্পিউটারে ১৮০০০ টাকা পর্যন্ত ছাড়।
99,normal,"নানা, আপনার ঔষধের সময় হয়েছে। খেতে ভুলবেন না।"
100,smish,আপনার মেডিকেল ইন্স্যুরেন্স এক্সপায়ার। নবায়ন: renew-medical.tk
101,promo,"হোম অ্যাপ্লায়েন্সে মেগা সেল! ফ্রিজ, AC তে বিশাল ছাড়।"
102,normal,"বোন, আগামীকাল আমাদের পিকনিক। তুমি কি নিয়ে আসবে?"
103,smish,সর্তকতা! আপনার চাকরির সার্টিফিকেট ভেরিফাই করুন: verify-job.ml
104,promo,"মোবাইল রিচার্জে বোনাস! যত রিচার্জ তত বোনাস, সর্বোচ্চ ৫০০ টাকা।"
105,normal,"চাচা, আজ ইফতারে আমাদের বাসায় আসবেন। আম্মু খুশি হবেন।"
106,smish,Emergency! আপনার ক্রেডিট কার্ড ব্লক। আনব্লক: unblock-credit.cf
107,promo,কসমেটিকসে বিশেষ অফার! সব ব্র্যান্ডে ৩০% ছাড় + গিফট হ্যাম্পার।
108,normal,"খালু, আপনার স্বাস্থ্য কেমন? নিয়মিত চেকআপ করাচ্ছেন তো?"
109,smish,আপনার এক্সিম ব্যাংক ডেবিট কার্ড কপি করা হয়েছে। সুরক্ষিত রাখুন: protect-card.tk
110,promo,টেলিটকে নতুন অফার! ৭দিনে ২জিবি ডেটা মাত্র ৪৯ টাকা। *১১৪*৬# ডায়াল করুন।
111,normal,"বন্ধু, তুমি কি জানো আগামীকাল ছুটি আছে? অফিসে কনফার্ম করেছো?"
112,smish,জরুরি সতর্কতা! আপনার ইউটিলিটি বিল অপরিশোধিত। কানেকশন বিচ্ছিন্ন হবে: pay-utility.ml
113,promo,বিশাল সেভিংস! হোম ডেকোরেশন আইটেমে ৪৫% পর্যন্ত ছাড়। শুধু আজ!
114,normal,"আম্মু, আমি বাজার করে আসছি। কিছু দরকার হলে ফোন করবেন।"
115,smish,লটারি জয়ী! আপনি ২০ লক্ষ টাকা পেয়েছেন। ক্লেইম করুন: lottery-claim.cf
116,promo,গ্রামীণফোন মেগা অফার! আনলিমিটেড টক টাইম ৩০দিন মাত্র ৪৯৯ টাকা।
117,normal,"দাদা, আপনার অ্যাপয়েন্টমেন্ট কাল সকাল ১০টায়। ভুলে যাবেন না।"
118,smish,আপনার স্টুডেন্ট লোন একাউন্ট সাসপেন্ড। রিঅ্যাক্টিভেট: student-loan.tk
119,promo,অনলাইন কোর্সে বিশেষ ছাড়! ওয়েব ডিজাইনে ৭৫% পর্যন্ত কমতি।
120,normal,"আপা, রাতের খাবারে কি রান্না করবেন? আমি মাছ কিনে এনেছি।"
121,smish,গুরুত্বপূর্ণ: আপনার হেলথ কার্ড এক্সপায়ার। নবায়ন করুন: health-card.ga
122,promo,"স্মার্টফোনে মেগা ডিসকাউন্ট! Samsung, Xiaomi এ ২৫০০০ টাকা পর্যন্ত ছাড়।"
123,normal,"খালা, আজ সন্ধ্যায় আপনার বাসায় যাবো। চা-নাশতা রেডি রাখবেন।"
124,smish,Alert! আপনার প্রভিডেন্ট ফান্ড হ্যাক হয়েছে। সেভ করুন: save-pf.ml
125,promo,"কিচেন অ্যাপ্লায়েন্সে ছাড়! প্রেসার কুকার, ব্লেন্ডারে ৪০% কম দাম।"
126,normal,"বাবা, আমার এক্সামের রেজাল্ট ভালো হয়েছে। A+ পেয়েছি।"
127,smish,সতর্কতা: আপনার ড্রাইভার লাইসেন্স বাতিল হবে। রিনিউ: renew-driving.cf
128,promo,পিজা হাটে কম্বো অফার! ২টি পিজা + ২টি কোক = ৭৯৯ টাকা মাত্র।
129,normal,"চাচী, আপনার মেয়ের বিবাহের প্রস্তুতি কেমন? কিছু সাহায্য লাগবে?"
130,smish,ইমার্জেন্সি: আপনার সোশ্যাল সিকিউরিটি নাম্বার কম্প্রমাইজড। চেক: check-ssn.tk
131,promo,"ফ্রি হোম ডেলিভারি! বই, স্টেশনারি, গিফটে কোন চার্জ নেই।"
132,normal,"ভাইয়া, আজ আপনার সাথে দেখা করতে পারবো না। কাল আসবো।"
133,smish,জয়! আপনি BMW গাড়ি জিতেছেন লটারিতে। নিবন্ধন: bmw-winner.ml
134,promo,"এক্সক্লুসিভ ফ্যাশন সেল! জিন্স, টিশার্টে ৫০% পর্যন্ত ছাড়।"
135,normal,"নানি, আপনার স্বাস্থ্য কেমন? ডাক্তারের কাছে গিয়েছিলেন?"
136,smish,জরুরি নোটিশ: আপনার ইলেকট্রিক মিটার রিডিং ভুল। সংশোধন: correct-meter.ga
137,promo,"গহনায় বিশাল ছাড়! স্বর্ণ, রূপায় ২০% পর্যন্ত কমতি।"
138,normal,"মামা, আগামীকাল আমাদের পারিবারিক অনুষ্ঠান। সময়মতো আসবেন।"
139,smish,সর্তকবার্তা: আপনার পেনশন পেমেন্ট স্টপ। রিস্টার্ট: restart-pension.cf
140,promo,"অ্যাক্সেসরিজে মেগা সেল! ব্যাগ, বেল্ট, ওয়ালেটে ৩৫% ছাড়।"
141,normal,"আপা, আমি দেরি করে বাসায় আসবো। অফিসে অতিরিক্ত কাজ আছে।"
142,smish,আপনার চাকরির পেমেন্ট পেন্ডিং। ক্লেইম করুন: claim-salary.tk
143,promo,"টয়োটা গাড়িতে স্পেশাল লোন! কম সুদে, সহজ কিস্তি।"
144,normal,"দোস্ত, আজ বিকেলে ফুটবল খেলা দেখবো। তোমার বাসায় আসবো।"
145,smish,Emergency! আপনার ইন্স্যুরেন্স পলিসি ক্যানসেল। সেভ করুন: save-policy.ml
146,promo,হোম ক্লিনিং সার্ভিস! প্রথম সার্ভিসে ৫০% ছাড়। বুকিং দিন।
147,normal,"আম্মু, আমি ট্রেনে উঠে গেছি। সন্ধ্যায় পৌঁছাবো।"
148,smish,সতর্ক হন! আপনার ভোটার আইডি ডুপ্লিকেট হয়েছে। ভেরিফাই: verify-voter.ga
149,promo,কসমেটিকসে বাম্পার অফার! স্কিনকেয়ার প্রোডাক্টে ৪০% ছাড়।
150,normal,"বন্ধু, তোমার নতুন চাকরি কেমন লাগছে? বস ভালো তো?"
151,smish,আপনার টেলিফোন বিল ৩ মাস বকেয়া। লাইন কাটা হবে: pay-phone.cf
152,promo,"ইলেকট্রনিক্সে মেগা সেল! TV, ফ্রিজ, AC তে বিশাল ছাড়।"
153,normal,"খালু, আপনার ছেলে কেমন আছে? পড়াশুনা ভালো চলছে?"
154,smish,লাকি ড্র! আপনি Honda বাইক জিতেছেন। রেজিস্ট্রেশন: honda-bike.tk
155,promo,অনলাইন গেমিংয়ে বোনাস! প্রথম ডিপোজিটে ১০০% এক্সট্রা।
156,normal,"আব্বু, আজ বৃষ্টি হচ্ছে। আপনি ছাতা নিয়ে বের হবেন।"
157,smish,গুরুত্বপূর্ণ: আপনার প্রপার্টি ট্যাক্স অপরিশোধিত। পেমেন্ট: property-tax.ml
158,promo,"ফার্নিচারে বিশেষ ছাড়! সোফা, টেবিলে ৩০% পর্যন্ত কমতি।"
159,normal,"নানা, আজ আপনার ঔষধ খাওয়ার সময়। রিমাইন্ডার দিলাম।"
160,smish,Alert: আপনার ক্রেডিট স্কোর কমে গেছে। চেক করুন: check-score.ga
161,promo,"স্পোর্টস আইটেমে মেগা ডিসকাউন্ট! ক্রিকেট, ফুটবল সামগ্রীতে ছাড়।"
162,normal,"বোন, আগামীকাল তোমার সাথে শপিং করতে যাবো। তৈরি থেকো।"
163,smish,সর্তকতা: আপনার পাসপোর্ট এক্সপায়ার হয়েছে। রিনিউ: passport-renew.cf
164,promo,"মোবাইল অ্যাক্সেসরিজে অফার! কেস, চার্জার, হেডফোনে ২৫% ছাড়।"
165,normal,"চাচা, আজ জুম্মার নামাজ পড়ে আসলাম। আপনি গেছেন?"
166,smish,Emergency! আপনার জব একাউন্ট হ্যাক। সুরক্ষিত করুন: secure-job.tk
167,promo,"হেলথ সাপ্লিমেন্টে ছাড়! ভিটামিন, প্রোটিনে ৩৫% কমতি।"
168,normal,"আপা, আজ রাতে আমার বন্ধুরা আসবে। একটু বেশি রান্না করবেন।"
169,smish,জরুরি নোটিশ: আপনার মেডিকেল রেকর্ড চুরি। সুরক্ষিত: protect-medical.ml
170,promo,পার্টি সাপ্লাইতে অফার! ডেকোরেশন আইটেমে ৪০% ছাড়।
171,normal,"দাদু, আজ আপনার জন্য মিষ্টি এনেছি। খুশি হবেন।"
172,smish,সতর্কবার্তা: আপনার ইন্টারনেট ডেটা চুরি হয়েছে। চেক: check-data.ga
173,promo,"বেবি প্রোডাক্টে স্পেশাল ডিসকাউন্ট! ডায়াপার, ফুডে ৩০% ছাড়।"
174,normal,"মামি, আপনার রেসিপি অনুযায়ী রান্না করেছি। খুব ভালো হয়েছে।"
175,smish,Alert! আপনার ব্যাংক লোন ডিফল্ট। তাৎক্ষণিক পেমেন্ট: pay-loan.cf
176,promo,"গার্ডেনিং টুলসে অফার! গাছের চারা, টবে বিশাল ছাড়।"
177,normal,"ভাই, আজ আমার পরীক্ষা ভালো হয়েছে। সব প্রশ্নের উত্তর দিতে পেরেছি।"
178,smish,জয় হোক! আপনি ল্যাপটপ জিতেছেন। ক্লেইম: laptop-winner.tk
179,promo,"স্টেশনারিতে মেগা সেল! কলম, নোটবুক, ব্যাগে ৩৫% ছাড়।"
180,normal,"আন্টি, আপনার পরিবারের সবাই ভালো আছেন? অনেক দিন দেখা নেই।"
181,smish,গুরুত্বপূর্ণ: আপনার ড্রাইভিং রেকর্ড চেক। আপডেট: update-driving.ml
182,promo,হোম অ্যাপ্লায়েন্সে বোনাস অফার! ওয়াশিং মেশিনে EMI সুবিধা।
183,normal,"বাবা, আমি নতুন জায়গায় ভালো আছি। চিন্তা করবেন না।"
184,smish,সর্তকতা: আপনার সিভিল আইডি এক্সপায়ার। রিনিউ করুন: renew-civil.ga
185,promo,"পেট ফুড ও সাপ্লাইতে ছাড়! কুকুর, বিড়ালের খাবারে ২৫% কমতি।"
186,normal,"দিদি, তোমার এক্সাম কেমন গেলো? সব প্রশ্ন করতে পেরেছো?"
187,smish,Emergency: আপনার হেলথ ইন্স্যুরেন্স ক্যানসেল। রিনিউ: health-insurance.cf
188,promo,"বুকে স্পেশাল ডিসকাউন্ট! নভেল, টেক্সটবুকে ৪০% ছাড়।"
189,normal,"খালা, আগামী সপ্তাহে আপনার বাসায় বেড়াতে যাবো।"
190,smish,আপনার কর রিটার্ন পেন্ডিং। জরিমানা এড়ান: file-return.tk
191,promo,ওয়াচে মেগা অফার! স্মার্ট ওয়াচে ৫০০০ টাকা পর্যন্ত ছাড়।
192,normal,"নানি, আপনার জন্য ওষুধ এনেছি। নিয়মিত খাবেন।"
193,smish,জরুরি সতর্কতা: আপনার এনআইডি তথ্য চুরি। সুরক্ষিত: secure-nid.ml
194,promo,"ক্যামেরায় বিশেষ ছাড়! DSLR, অ্যাকশন ক্যামেরায় ৩৫% কমতি।"
195,normal,"আম্মু, আমি বাসে উঠেছি। রাত ১০টার মধ্যে পৌঁছাবো।"
196,smish,লটারি বিজয়ী! আপনি ১৫ লক্ষ টাকা জিতেছেন। কালেক্ট: collect-prize.ga
197,promo,ট্রাভেল প্যাকেজে অফার! কক্সবাজার ট্যুরে ৩০% ছাড়।
198,normal,"চাচী, আজ আপনার সাথে অনেক ভালো সময় কাটলো। ধন্যবাদ।"
199,smish,Alert: আপনার পেনশন ফান্ড সাসপেন্ড। রিঅ্যাক্টিভেট: reactivate-fund.cf
200,promo,"হোম ডেকোর আইটেমে মেগা সেল! কার্টেন, বেডশিটে ৪৫% ছাড়।"
201,normal,"ভাইয়া, আমার কম্পিউটার ঠিক আছে এখন। আপনার সাহায্যের জন্য ধন্যবাদ।"
202,smish,গুরুত্বপূর্ণ: আপনার ভ্যাকসিন সার্টিফিকেট এক্সপায়ার। আপডেট: update-vaccine.tk
203,promo,সানগ্লাসে স্পেশাল ডিসকাউন্ট! ব্র্যান্ডেড গ্লাসে ৪০% ছাড়।
204,normal,"দোস্ত, আজ আমার জন্মদিন। সন্ধ্যায় পার্টি আছে। আসবে তো?"
205,smish,"জরুরি সতর্কবার্তা! আপনার সোনালী ব্যাংক সেভিংস অ্যাকাউন্ট নং ১২৩৪৫৬৭৮৯০ থেকে গত রাত ২টায় ৫০,০০০ টাকা অননুমোদিত লেনদেন হয়েছে। আপনার অ্যাকাউন্টের নিরাপত্তার জন্য আমরা এটি অস্থায়ীভাবে ব্লক করেছি। অবিলম্বে ০১৭১১২২৩৩৪৪ নম্বরে কল করে আপনার পিন নাম্বার ও OTP দিয়ে অ্যাকাউন্ট আনব্লক করুন।"
206,promo,"গ্রামীণফোনের বিশেষ ঈদ অফার! এই মাসের জন্য আমরা নিয়ে এসেছি অভূতপূর্ব ডেটা প্যাকেজ - মাত্র ৪৯৯ টাকায় পাবেন ৫০ জিবি ডেটা, ৫০০ মিনিট টক টাইম এবং ১০০০ SMS একসাথে ৩০ দিনের জন্য। এছাড়াও রয়েছে সকল গ্রামীণফোন নাম্বারে ফ্রি কল এবং অন্যান্য অপারেটরে ২৫% কম রেট। এখনই *১২১*৪৯৯# ডায়াল করুন অথবা My GP অ্যাপ থেকে কিনুন।"
207,normal,"আসসালামু আলাইকুম মামা, আশা করি আপনি ভালো আছেন। আমি গতকাল ঢাকা থেকে কুমিল্লা এসেছি এবং আজ সকাল থেকেই আপনাদের সাথে দেখা করার জন্য অপেক্ষা করছি। আম্মু বলেছেন আপনার স্বাস্থ্যের অবস্থা ভালো নেই এবং ডাক্তার নিয়মিত ওষুধ খেতে বলেছেন। আজ বিকেলে যদি সুবিধা হয় তাহলে আমি আপনার বাসায় আসবো এবং প্রয়োজনীয় ওষুধপত্র নিয়ে আসবো।"
208,smish,অভিনন্দন জনাব আহমেদ সাহেব! আপনি বাংলাদেশ সরকারের জাতীয় লটারি প্রোগ্রামে প্রথম পুরস্কার জিতেছেন। আপনার বিজয়ী নাম্বার: BDL-২০২৩-৭৮৯১২৩ এবং পুরস্কারের পরিমাণ ২৫ লক্ষ টাকা। এই পুরস্কার দাবি করতে আপনাকে প্রক্রিয়াকরণ ফি হিসেবে ৫০০০ টাকা বিকাশে পাঠাতে হবে। পুরস্কার দাবির শেষ তারিখ আগামী ৪৮ ঘন্টা। বিস্তারিত জানতে ০১৮৩৩৪৪৫৫৬৬ নাম্বরে কল করুন।
209,promo,"দারাজের মেগা ১১.১১ সেল এখনই শুরু! এই বিশেষ দিনে আমরা নিয়ে এসেছি অবিশ্বাস্য সব অফার - ইলেকট্রনিক্সে ৭০% পর্যন্ত ছাড়, ফ্যাশনে ৬০% ছাড়, হোম অ্যান্ড লিভিংয়ে ৫৫% ছাড়। বিশেষ ফ্ল্যাশ সেলে স্মার্টফোন ৯৯৯ টাকা থেকে শুরু! প্রতি ঘন্টায় নতুন নতুন ডিল। ফ্রি শিপিং এবং ক্যাশ অন ডেলিভারি সুবিধা। এখনই daraz.com.bd তে ভিজিট করুন অথবা ডারাজ অ্যাপ ডাউনলোড করুন।"
210,normal,"প্রিয় বন্ধু রহিম, তোমার গতকালের ফোনের পর থেকেই তোমার চাকরির ইন্টারভিউর কথা ভাবছি। জানি যে তুমি অনেক প্রস্তুতি নিয়েছো এবং তোমার যোগ্যতা সম্পর্কে আমার কোন সন্দেহ নেই। আগামীকাল সকাল ১০টার ইন্টারভিউতে অবশ্যই ভালো করবে। রাতে তাড়াতাড়ি ঘুমিয়ে যেও এবং সকালে ভালো নাশতা করে যেও। আল্লাহর কাছে তোমার জন্য দোয়া করছি। সফল হওয়ার পর খবর দিও।"
