id,label,text
35,promo,Samsung Galaxy A54 with free earbuds! EMI starts from 2500 TK monthly. Visit Transcom Digital!
36,normal,Good morning! Hope you slept well. Don't forget about our meeting at 3 PM today.
37,smish,Your internet connection will be terminated. Clear dues 1800 TK: net-payment.bd/urgent
38,promo,KFC bucket feast for family! 8 pieces chicken + sides just 1299 TK. Order now: 16427
39,normal,Thank you for the lovely gift! It was such a sweet surprise. You're the best!
40,smish,Police verification required for your SIM card. Submit documents: police-sim-verify.bd/submit
41,promo,Bashundhara City shopping festival! Win gold jewelry with purchases above 5000 TK this weekend!
42,normal,Are you still working late? Don't forget to have dinner. Take care of your health.
43,smish,Your ATM card blocked due to security reasons. Unblock: secure-atm-unlock.bd/emergency
44,promo,"Chaldal grocery delivery! Fresh vegetables, fruits delivered in 2 hours. 100 TK off on first order!"
45,normal,The movie was fantastic! Thanks for suggesting it. We should watch more together.
46,smish,Scholarship award of 75000 BDT approved. Accept: education-scholarship.bd/accept Code: SCH4421
47,promo,Red Chili restaurant opening special! 50% discount on all items today and tomorrow. Don't miss!
48,normal,Reminder: Our cousin's wedding is next week. Have you bought the gift yet?
49,smish,"Your debit card used for online purchase 12500 BDT. If not you, report: bank-fraud.bd/report"
50,promo,Walton refrigerator exchange offer! Get 15000 TK off on new purchase with old appliance exchange.
51,normal,It's raining heavily outside. Better take an umbrella if you're going out.
52,smish,COVID-19 vaccination certificate download fee 200 TK. Get yours: covid-cert-bd.org/download
53,promo,Yellow cab flat 50% off on all rides today! Use app code: YELLOW50. Book now and save big!
54,normal,Happy anniversary! Wishing you both many more years of happiness and love together.
55,smish,Your land registration documents require urgent verification: land-verify-bd.gov/urgent REF: L8834
56,promo,Square Hospital health checkup package 40% discount! Complete body checkup just 3600 TK. Book now!
57,normal,The presentation went really well today. The client seemed very impressed with our proposal.
58,smish,"Electricity bill payment overdue. Avoid disconnection, pay 2800 TK: power-bill.bd/urgent"
59,promo,Pizza Hut buy 1 get 1 free on all medium pizzas! Dine-in or takeaway. Offer valid today only!
60,normal,Don't worry about the exam results. You did your best and that's what matters most.
61,smish,Your passport application rejected. Resubmit with 1500 TK fee: passport-resubmit.bd/urgent
62,promo,Meena Bazar mega discount! All grocery items 25% off. Free home delivery above 2000 TK purchase!
63,normal,The garden looks beautiful after all your hard work. Those flowers are absolutely gorgeous!
64,smish,Bank security alert: Unauthorized login attempt. Secure account: bank-secure.bd/protect PIN: 5829
65,promo,Singer electronics Eid special! All home appliances up to 50% off with 0% interest EMI facility!
66,normal,Thanks for listening when I needed someone to talk to. Your friendship means everything to me.
67,smish,Your mobile number selected for government survey. Win 20000 TK: survey-prize.bd/win Code: SV7741
68,promo,Agora supermarket weekend special! Buy groceries worth 1500 TK get 200 TK cashback via bKash!
69,normal,See you at the family gathering tomorrow. Mom is making everyone's favorite dishes!
70,smish,Traffic police fine 3000 TK for violation. Pay online to avoid court: traffic-fine.bd/pay
71,promo,Robi 4.5G unlimited internet + calls package! Only 599 TK for 30 days. Activate: *8444*599#
72,normal,Hope your job interview went well today. Keeping my fingers crossed for good news!
73,smish,Your digital wallet hacked. Secure immediately: wallet-security.bd/urgent Amount at risk: 45000 TK
74,promo,Apex Footwear Eid collection! Designer shoes and sandals up to 45% discount. All showrooms open!
75,normal,The vacation photos look amazing! Seems like you had a wonderful time at Cox's Bazar.
76,smish,Income tax refund 8500 TK ready for collection. Claim: tax-refund-bd.gov/collect Code: TR9923
77,promo,"Othoba.com flash sale! Electronics, fashion, home items up to 75% off. Free delivery nationwide!"
78,normal,"Good luck with your driving test tomorrow! You've practiced enough, you'll do great."
79,smish,Your son's school admission confirmed. Pay admission fee 25000 TK: school-admission.bd/payment
80,promo,"Hatil furniture mega sale! Bedroom, dining, living room sets 40% discount. EMI facility available!"
81,normal,Thank you for the delicious homemade cookies! They were absolutely perfect with tea.
82,smish,Property tax notice: Pay 4200 TK immediately to avoid legal action: property-tax.bd/urgent
83,promo,Banglalink 30GB internet + 500 minutes for 30 days only 399 TK! Get it now: *5000*399#
84,normal,Congratulations on your graduation! So proud of all your hard work and achievements.
85,smish,Your vehicle registration expired. Renew online with 1200 TK fine: vehicle-reg.bd/renew
86,promo,CNG pump new opening! First 100 customers get 10% discount on CNG fill-up. Location: Dhanmondi 27
87,normal,The weather forecast shows rain all week. Good thing we finished the outdoor work yesterday.
88,smish,Bank loan approved 300000 TK. Processing fee 7500 TK required: loan-process.bd/urgent
89,promo,Guardian Life Insurance special premium! Health insurance with 10 lakh coverage just 5000 TK yearly!
90,normal,Thanks for the recipe! I tried making it today and it turned out absolutely delicious.
91,smish,"Your broadband connection shows illegal downloading. Avoid disconnection, pay fine 2500 TK: isp-fine.bd"
92,promo,"Pran RFL plastic chair and table set! Durable quality, special price 2800 TK. All showrooms available!"
93,normal,Looking forward to our trip next month! I've already started packing in my mind.
94,smish,"Court summons issued for unpaid loan. Avoid arrest, settle 85000 TK: court-settlement.bd/urgent"
95,promo,Shwapno Eid special! All food items 20% discount + free home delivery on orders above 1000 TK!
96,normal,Hope you're feeling better today. Take rest and don't worry about work for now.
97,smish,Your email account will be closed. Verify to keep active: email-verify.bd/urgent Password: EM4478
98,promo,Fair and Lovely skin care products 30% off! All cosmetic stores. Additional gift with purchase above 800 TK!
99,normal,The concert was absolutely incredible! The singer's voice gave me goosebumps throughout.
100,smish,Customs duty 6800 TK for your international package. Pay: customs-bd.gov/pay Tracking: IN7748291
101,promo,Toyota Corolla special discount! Save 300000 TK on new purchase. Book test drive: 09639200200
102,normal,Happy Mother's Day! You're the most wonderful mom anyone could ask for.
103,smish,Your insurance claim of 150000 TK approved. Collect: insurance-claim.bd/collect Ref: IC8847
104,promo,Dekko ceramic tiles mega discount! All bathroom and kitchen tiles 35% off. Free installation service!
105,normal,Thanks for being such an amazing friend. Your support means the world to me.
106,smish,Emergency medical fund needed for accident victim. Donate 1000 TK: emergency-medical.bd/donate
107,promo,Fresh fish and meat home delivery! Kazi Farms Kitchen delivers in 3 hours. Order: 09666701010
108,normal,The surprise party was perfect! Everyone had such a wonderful time celebrating with you.
109,smish,CRITICAL: Your MTB Bank credit card compromised. Block now: mtb-security.bd/block or thieves steal funds
110,promo,Carnival internet café gaming tournament! Win cash prizes up to 25000 TK. Registration open: 01711445566!
111,normal,The homemade cake looks absolutely delicious! Your baking skills keep getting better every time you try.
112,smish,Your Bitcoin wallet hacked. Secure with recovery fee 7500 TK: btc-recovery.bd/secure Wallet: BTC4829
113,promo,Purbani Hotel wedding packages! Complete arrangements starting 150000 TK. Book hall: 02-9567788!
114,normal,Thanks for picking up the kids from school today. Really appreciate your help during busy times.
115,smish,Emergency tax notice: Pay arrears 32000 TK or face arrest warrant: tax-arrears.bd/urgent File: TX9847
116,promo,Singer showroom anniversary sale! All electronics 45% off + 5 year extended warranty. Visit today!
117,normal,Good morning! Hope you slept well after yesterday's long journey. Rest today and recover your energy.
118,smish,Your landline disconnected for illegal international calls. Restore with penalty 4800 TK: phone-restore.bd/pay
119,promo,Bashundhara LP Gas cylinder offer! 12kg cylinder with free burner 2200 TK. Safe cooking solution!
120,normal,The weather is perfect for drying clothes outside. Finally some sunshine after days of rain!
121,smish,Bank audit found irregularities in your account. Clear audit 15500 TK: bank-audit.bd/clear Account: AU8832
122,promo,"Marico hair care products mega sale! All shampoos, oils 30% discount. Healthy hair starts today!"
123,normal,Congratulations on your new baby! Both mother and child are healthy. Such wonderful news for the family!
124,smish,Your mobile tower shows radiation violation. Health clearance fee 2800 TK: tower-health.bd/pay
125,promo,Prime Bank car loan special! New car financing up to 80% loan amount. Drive your dream car!
126,normal,Thanks for the movie recommendation! We watched it last night and loved every minute of it.
127,smish,COVID contact tracing shows high risk. Mandatory test fee 1500 TK: covid-test.bd/mandatory
128,promo,Karnaphuli Gas distribution connection! New gas line installation 8500 TK. Cook with clean energy!
129,normal,Hope your mother is feeling better today. Sending prayers and positive thoughts for quick recovery.
130,smish,Your Uber account suspended for fraudulent rides. Restore with verification 3200 TK: uber-restore.bd/verify
131,promo,Fresh fish market Ramadan special! All sea fish 20% discount. Best quality guaranteed daily!
132,normal,The garden looks beautiful with all the new flowers blooming. Spring has definitely arrived here!
133,smish,Property mutation blocked due to fake documents. Clear with legal fee 28000 TK: mutation-legal.bd/urgent
134,promo,"Rangpur Foundry iron products sale! Gates, grills, furniture 25% off. Durable and affordable!"
135,normal,Good luck with your visa interview tomorrow! You've prepared all documents well. Everything will be fine.
136,smish,Your smartphone infected with banking virus. Remove with security software 1800 TK: phone-security.bd/clean
137,promo,"Golden Harvest agro products fair! Seeds, fertilizers, tools 15% discount. Boost your harvest!"
138,normal,Thanks for the surprise visit! It was so good to see you after such a long time apart.
139,smish,Insurance claim of 85000 TK rejected due to missing papers. Appeal fee 6500 TK: claim-appeal.bd/urgent
140,promo,Brac Bank deposit scheme! 5 year term deposit 9% interest rate. Secure your future today!
141,normal,The homemade biryani smells incredible! Can't wait for dinner. You're such an amazing chef always.
142,smish,"Your electricity meter tampered illegally. Avoid legal action, pay fine 5200 TK: meter-fine.bd/pay"
143,promo,Navana Petroleum lubricants offer! All engine oils 20% discount with free oil filter. Drive smooth!
144,normal,Hope the job interview goes well today! You're well qualified and I'm confident you'll impress them.
145,smish,Bank transfer of 125000 TK blocked by anti-money laundering. Clear with fee 8800 TK: aml-clear.bd/urgent
146,promo,PHP Automobiles motorcycle fair! All bikes 15% discount + free helmet. Ride with confidence!
147,normal,The surprise anniversary party was perfect! Everyone had such a wonderful time celebrating with you both.
148,smish,Your son's exam results withheld for fee payment. Release with 4500 TK: exam-results.bd/release
149,promo,Meghna Cement building materials expo! All construction supplies 18% off. Build your dreams strong!
150,normal,Thanks for helping me with the computer problem. You saved me so much time and frustration!
151,smish,Traffic violation camera captured your car. Pay fine 6800 TK online: camera-fine.bd/pay Violation: CAM7429
152,promo,Square Pharmaceuticals health checkup camp! Full body screening 2500 TK. Early detection saves lives!
153,normal,Good morning! The sunrise over the river looks absolutely breathtaking today. Nature's perfect beauty.
154,smish,Your Facebook business page will be deleted. Save with verification fee 2200 TK: fb-business.bd/save
155,promo,Rupali Bank home loan festival! Property financing up to 1 crore at 8% interest. Own your home!
156,normal,The baby shower decorations look amazing! You've done such a beautiful job organizing everything perfectly.
157,smish,Medical emergency: Your wife needs surgery. Hospital deposit 45000 TK: emergency-surgery.bd/deposit
158,promo,"City Group job fair! 1000+ positions in textile, pharmacy, banking. Apply: citygroup-jobs.bd!"
159,normal,Hope you're enjoying your vacation in Chittagong! The Hill Tracts must look stunning this season.
160,smish,Your land record shows ownership dispute. Legal settlement 65000 TK: land-dispute.bd/settle
161,promo,Bashundhara Tissue paper factory outlet! All tissue products 35% discount. Hygiene at affordable prices!
162,normal,Thanks for the delicious homemade sweets! They were perfectly made and brought back childhood memories.
163,smish,Police case registered against your vehicle. Settlement fee 9500 TK: police-settlement.bd/urgent Case: PS8847
164,promo,Confidence Group apartments in Bashundhara! 3 bedroom ready flats starting 95 lakh. Book with 5% down!
165,normal,Congratulations on your son's graduation! Such a proud moment for the whole family. Well deserved success!
166,smish,Your internet service shows copyright violation. Legal fee 7200 TK to avoid prosecution: copyright-fine.bd/pay
167,promo,"Fresh Valley dairy products! Pure milk, butter, cheese home delivery. Order: 01711334455 for freshness!"
168,normal,The morning walk was refreshing! Perfect weather and great company. Let's make this a regular habit.
169,smish,Bank loan defaulter list published. Remove your name with clearance fee 18500 TK: defaulter-clear.bd/urgent
170,promo,Olympic Industries biscuit factory sale! All varieties 30% discount. Perfect snacks for every occasion!
171,normal,Thanks for taking care of the house while we were away. Everything looks perfect as always!
172,smish,Your mobile banking transaction flagged as suspicious. Clear with investigation fee 4200 TK: suspicious-clear.bd/urgent
173,promo,Green Delta Life Insurance special! Family protection 10 lakh coverage just 12000 TK annually!
174,normal,Hope your medical test results come back normal. I'm sure everything will be fine. Stay positive!
175,smish,Immigration office requires additional documents for visa. Processing fee 8500 TK: visa-process.bd/urgent
176,promo,Akij Group cement discount! All grades 12% off with free home delivery. Quality construction guaranteed!
177,normal,The homemade dinner was absolutely delicious! You're becoming such an expert cook. Recipe please share!
178,smish,Your son arrested for traffic violation. Bail amount 25000 TK immediately: traffic-bail.bd/urgent
179,promo,Standard Chartered priority banking! Exclusive services for deposits above 10 lakh. Apply: 16203!
180,normal,Good luck with your presentation tomorrow! You've worked hard and I know you'll do excellently.
181,smish,Healthcare insurance premium increased. Pay extra 6800 TK or lose coverage: health-premium.bd/pay
182,promo,"Partex Star Technologies computer fair! Laptops, desktops 25% off with 3 year warranty. Tech solutions!"
183,normal,Thanks for the thoughtful birthday gift! It's exactly what I wanted. You know me so well always.
184,smish,Your driving license points exceeded limit. Restore with penalty 5500 TK: license-points.bd/restore
185,promo,Purbani Group ready-made garments factory outlet! Designer clothes 40% discount. Fashion at low prices!
186,normal,The surprise farewell gathering was touching! Everyone will miss you greatly. Keep in touch always.
187,smish,Bank security audit failed. Account will close unless you pay audit fee 12500 TK: security-audit.bd/urgent
188,promo,Dutch-Bangla Bank education loan! Study abroad financing up to 25 lakh. Fulfill your academic dreams!
189,normal,Hope the weather improves for the weekend picnic. The forecast looks promising with clear skies ahead.
190,smish,Your property tax assessment increased dramatically. Appeal with fee 15000 TK: tax-appeal.bd/urgent
191,promo,"Singer Plus home appliances rental! Refrigerator, TV, AC monthly rental starting 2500 TK. No down payment!"
192,normal,The book club discussion was fascinating! Great insights about the novel. Looking forward to next meeting.
193,smish,Medicare bill overdue 35000 TK for treatment. Patient discharge blocked: medicare-bill.bd/urgent
194,promo,Confidence Cement ready-mix concrete! All grades available with on-time delivery. Strong foundations guaranteed!
195,normal,Thanks for the amazing vacation photos! The sunset shots are absolutely breathtaking. Professional quality work!
196,smish,Your Bitcoin mining account shows irregularities. Verify with fee 9800 TK: mining-verify.bd/urgent
197,promo,Fresh supermarket organic food festival! All organic products 25% discount. Healthy living starts here!
198,normal,Good morning! The morning breeze feels wonderful today. Perfect weather for our planned garden work.
199,smish,Traffic police fine 8200 TK for signal violation. Pay online immediately: signal-fine.bd/urgent
200,promo,"Meghna Group petrochemical products sale! Industrial chemicals, lubricants 20% discount. Quality assured!"
201,normal,Congratulations on your new house! It looks beautiful and spacious. Perfect for your growing family!
202,smish,Your email storage exceeded limit. Upgrade with payment 2800 TK: email-storage.bd/upgrade
203,promo,Bangladesh Machine Tools factory outlet! Industrial equipment 30% discount. Productivity solutions available!
204,normal,Hope your mother's surgery went well today. Sending prayers and positive thoughts for speedy recovery.
205,smish,Land registration office requires bribe 22000 TK for quick processing: land-bribe.bd/urgent
206,promo,City Bank SME business loan! Small business financing up to 2 crore at competitive rates!
207,normal,The homemade pizza last night was incredible! Perfect crust and toppings. You should teach cooking classes!
208,smish,Your cryptocurrency wallet frozen by authorities. Unfreeze with compliance fee 11500 TK: crypto-compliance.bd/urgent
209,promo,"Square Toiletries beauty products sale! All skincare items 35% off. Look beautiful, feel confident!"
210,normal,Thanks for being such a reliable friend through good times and bad. Your friendship means everything!
211,smish,Hospital emergency bill 68000 TK for accident treatment. Pay immediately: hospital-emergency.bd/bill
212,promo,Bashundhara Group shopping festival! All retail outlets 50% discount weekend. Shop till you drop!
213,normal,The morning jog felt great today! Thanks for motivating me to maintain healthy exercise habits regularly.
214,smish,Your mobile number linked to terrorism activities. Clear record with 14500 TK: terror-clear.bd/urgent
215,promo,Prime Bank fixed deposit special! 5 year term 10% interest rate guaranteed. Secure financial future!
216,normal,Hope your exam results are excellent tomorrow! You studied hard and deserve success. Fingers crossed!
217,smish,Property ownership documents require urgent verification. Fee 18000 TK: property-verify.bd/urgent
218,promo,"Golden Harvest food products fair! Rice, oil, spices 22% discount. Quality nutrition for families!"
219,normal,The surprise birthday celebration was perfect! Everyone loved the decorations and cake. Great job organizing!
220,smish,WARNING: Your IFIC Bank account locked due to suspicious activity. Unlock now: ific-unlock.bd/urgent Code: IF8832
221,promo,Bikroy.com weekend sale! All electronics 60% off + free delivery. Shop now with code: WEEKEND60!
222,normal,How was your first day at the new office? Hope everything went smoothly and you liked the team.
223,smish,Your Nagad wallet PIN compromised. Change immediately: nagad-security.bd/reset or lose 85000 TK balance
224,promo,Pathao ride discount 40% for new users! Use code: NEW40. Download app and start saving today!
225,normal,The homemade biryani smells amazing! Can't wait to taste it. You're such a great cook.
226,smish,URGENT: Your NID card expired. Renew online with 800 TK fee: nid-renewal-bd.gov/urgent REF: NID7429
227,promo,Lotto food court grand opening! All items buy 1 get 1 free today only. Bashundhara City mall!
228,normal,Thanks for the book recommendation! I finished it last night and loved every page of it.
229,smish,Your Islami Bank Sharia account violated banking rules. Pay penalty 4500 TK: sharia-penalty.bd/pay
230,promo,Gazi Tyres special offer! All car tyres 25% discount with free wheel alignment. Call 01711998877!
231,normal,Good morning! The sunrise looks beautiful today. Perfect weather for our morning walk together.
232,smish,Facebook account hacked. Secure now or lose all data: fb-security.bd/protect Password: FB9847
233,promo,"Eid fashion collection at Rang! Designer clothes 50% off. Visit Gulshan, Dhanmondi, Uttara showrooms!"
234,normal,"Happy Eid Mubarak! May this blessed occasion bring joy, peace and prosperity to your family."
235,smish,Your son arrested for drug possession. Pay bail 150000 TK immediately: police-bail.bd/urgent
236,promo,Uber Eats free delivery on all orders above 500 TK! Use code: FREEDEL. Order your favorite food now!
237,normal,The weather is perfect for a picnic. Should we plan something for this weekend at Suhrawardy Park?
238,smish,Electricity meter reading shows illegal usage. Pay fine 3200 TK: electric-fine.bd/urgent Meter: EM4493
239,promo,Fresh supermarket organic vegetable sale! All fresh produce 30% discount. Healthy eating starts today!
240,normal,Congratulations on your engagement! So happy for both of you. When is the wedding planned?
241,smish,Your Gmail storage full. Upgrade now or lose emails: gmail-storage.bd/upgrade Payment: 1200 TK
242,promo,City Bank credit card special! 0% interest for 12 months on all purchases. Apply today: 16234!
243,normal,Thanks for helping me move yesterday. Couldn't have done it without your support and friendship.
244,smish,COVID-19 fine 5000 TK for not wearing mask. Pay online: covid-fine.bd/pay Citation: CV8832
245,promo,AC servicing special offer! Clean and gas refill just 2500 TK. Call 01977334455 for booking!
246,normal,The movie was hilarious! Thanks for suggesting it. We should have more movie nights like this.
247,smish,Your vehicle insurance expired. Immediate renewal required 8500 TK: auto-insurance.bd/urgent
248,promo,Polar ice cream factory outlet sale! All flavors 40% discount. Family packs available. Don't miss!
249,normal,Hope your medical checkup goes well tomorrow. I'm sure everything will be fine. Take care!
250,smish,Bank transfer of 75000 TK failed. Retry with processing fee 2800 TK: transfer-retry.bd/urgent
251,promo,Computer Source laptop expo! Gaming laptops starting 55000 TK with warranty. Gulshan showroom open!
252,normal,The garden party was wonderful! Everyone enjoyed the food and decorations. Great job organizing!
253,smish,Your broadband bill overdue 2200 TK. Disconnection in 2 hours: internet-bill.bd/urgent Pay now!
254,promo,Standard Chartered personal loan approved! Get up to 15 lakh at 12% interest. Apply: 16203!
255,normal,Good luck with your presentation today! You've prepared well and I know you'll do amazing.
256,smish,Income tax audit notice. Appear with documents or pay 25000 TK: tax-audit.bd/urgent File: TX7429
257,promo,"Brac Bank home loan special! 8.5% interest rate, 25 year tenure. Own your dream home today!"
258,normal,Thanks for the surprise birthday cake! It was such a sweet gesture. You made my day special.
259,smish,Your mobile SIM will be blocked for security reasons. Verify: sim-security.bd/verify Code: SM8394
260,promo,"Kazi Food Industries job fair! 500+ vacancies in production, admin, sales. Apply now: 01711887766!"
261,normal,The presentation went really well! The team was impressed with our proposal and gave positive feedback.
262,smish,Emergency: Your father hospitalized. Medical bills 35000 TK needed: hospital-emergency.bd/urgent
263,promo,Navana Real Estate apartment booking! 2% discount on booking amount. Dream home in Gulshan available!
264,normal,Hope you're enjoying your vacation in Sylhet! The tea gardens must look absolutely breathtaking right now.
265,smish,Your Rocket account shows unauthorized transaction 18000 TK. Report: rocket-fraud.bd/report immediately
266,promo,Singer Plus membership! Exclusive discounts on home appliances all year. Join for just 500 TK annually!
267,normal,Thanks for the delicious lunch! The fish curry was perfectly spiced. Please share the recipe with me.
268,smish,Police verification failed for passport. Resubmit with 1800 TK: police-passport.bd/resubmit
269,promo,"Dekko Isho steel furniture! Office chairs, tables 35% discount. Ergonomic design, 5 year warranty!"
270,normal,The cricket match was thrilling! Bangladesh played exceptionally well. What a fantastic victory celebration!
271,smish,Your land ownership disputed. Legal fee 45000 TK to retain property: land-legal.bd/urgent REF: LD8847
272,promo,Ifad Autos Suzuki car fair! All models 10% discount with 5 year warranty. Test drive available!
273,normal,Good morning! Don't forget about our lunch meeting at 1 PM. Looking forward to catching up.
274,smish,Bank loan EMI overdue. Credit score affected. Clear 12500 TK: loan-recovery.bd/urgent
275,promo,"Partex furniture Eid special! Bedroom sets starting 35000 TK. Visit Elephant Road, New Market showrooms!"
276,normal,The homemade sweets were delicious! Grandma's recipe always brings back such wonderful childhood memories.
277,smish,Your email hacked by criminals. Secure with verification fee 900 TK: email-secure.bd/protect
278,promo,Easy Bike ride sharing! First 10 rides free for new users. Download app and explore the city!
279,normal,Congratulations on your promotion! Well deserved after all your hard work. Let's celebrate this weekend!
280,smish,Court order: Property seizure notice. Pay 95000 TK to stop: court-property.bd/urgent Case: CP4829
281,promo,"Steel Re-Rolling Mills job opportunity! Engineers, operators needed. Salary up to 45000 TK. Apply now!"
282,normal,The weather forecast shows thunderstorms. Better cancel the outdoor barbecue and plan something indoors instead.
283,smish,Your mobile banking limit exceeded illegally. Normalize with 3500 TK fee: banking-limit.bd/urgent
284,promo,"Apex Tannery leather goods exhibition! Shoes, bags, wallets up to 45% discount. Dhaka Trade Center!"
285,normal,Thanks for taking care of my plants while I was away. They look healthier than before!
286,smish,Traffic police case filed against you. Settle 8000 TK fine: traffic-court.bd/settle Violation: TR7394
287,promo,"Bangladesh Textile Mills fabric sale! Premium cotton, silk fabrics 30% off. Wholesale prices available!"
288,normal,Happy anniversary to both of you! May your love story continue to inspire everyone around you.
289,smish,"Your internet shows piracy activity. Avoid legal action, pay 6500 TK: piracy-fine.bd/urgent"
290,promo,Green Delta Insurance health policy! Family coverage 5 lakh at 8000 TK annually. Secure your future!
291,normal,The surprise farewell party was perfect! Everyone will miss you. Stay in touch and visit often.
292,smish,Bank security breach detected. Protect account with 1500 TK security fee: bank-protect.bd/urgent
293,promo,Bashundhara Paper Mills office supplies sale! All stationery items 25% discount. Bulk orders welcome!
294,normal,Good luck with your exam tomorrow! You've studied hard and I'm confident you'll do excellently.
295,smish,Your passport seized at airport. Release fee 35000 TK required: airport-release.bd/urgent
296,promo,Confidence Cement building materials expo! All construction items 20% discount with free delivery service!
297,normal,The homemade pizza was incredible! Perfect crust and toppings. You should open a restaurant someday.
298,smish,Medicare hospital bill unpaid. Patient discharge blocked. Pay 28000 TK: hospital-bill.bd/urgent
299,promo,"Akij Food beverage factory outlet! Soft drinks, snacks 40% off. Perfect for parties and events!"
300,normal,Thanks for the thoughtful gift! It's exactly what I needed. You always know how to make me happy.
301,smish,Your driving license suspended. Reinstate with 4200 TK penalty: license-reinstate.bd/urgent
302,promo,Banglalink 5G router offer! High speed unlimited internet 30 days just 799 TK. Order: *5000*799#
303,normal,The morning jog felt refreshing! Thanks for motivating me to start exercising regularly. Feeling great already!
304,smish,Facebook lottery winner! You won 250000 BDT. Claim fee 8500 TK: fb-lottery.bd/claim Winner: FL8832
305,promo,PHP Family restaurant buffet! Unlimited Bengali cuisine 599 TK per person. Book table: 01711223344!
306,normal,Hope your job interview went well today! I'm sure they were impressed with your skills and experience.
307,smish,Your mobile number traced in criminal activity. Clear name with 15000 TK: police-clear.bd/urgent
308,promo,"Olympic Industries cake factory sale! Wedding cakes, birthday cakes 30% discount. Order: 01977665544!"
309,normal,The book club meeting was fantastic! Great discussion about the novel. Can't wait for next month's selection.
310,smish,Bank ATM card cloned. Block immediately or lose money: atm-block.bd/urgent Amount at risk: 125000 TK
311,promo,Masco Group job circular! Management trainee positions available. Salary 50000 TK. Apply: mascojobs.bd!
312,normal,Thanks for the wonderful dinner invitation! The food was delicious and the company was even better.
313,smish,"Your tax file under investigation. Avoid penalties, pay 18000 TK: tax-investigation.bd/urgent"
314,promo,City Bank student loan! Education financing up to 10 lakh at 6% interest. Apply with minimal documents!
315,normal,Good morning! The sunrise over Dhanmondi Lake looks absolutely stunning today. Nature's perfect artwork.
316,smish,Emergency medical insurance claim rejected. Appeal with 5500 TK: medical-appeal.bd/urgent Claim: MI4829
317,promo,Shanta Holdings apartment fair! 3 bedroom flats in Uttara starting 85 lakh. Book now with 5% discount!
318,normal,Congratulations on completing your PhD! Dr. Rahman sounds perfect. So proud of your academic achievement!
319,smish,Your son's university admission canceled. Restore with donation 75000 TK: admission-restore.bd/urgent
320,promo,Dutch-Bangla Bank SME loan! Small business funding up to 50 lakh at competitive rates. Apply today!
321,normal,The family reunion was amazing! So good to see everyone after such a long time. Great memories made.
